Date,Open,High,Low,Close*,Adj Close**,Volume
2021-03-12,"3,924.52","3,944.99","3,915.21","3,943.34",3943.34,"4,469,240,000"
2021-03-11,"3,915.54","3,960.27","3,915.54","3,939.34",3939.34,"5,300,010,000"
2021-03-10,"3,891.99","3,917.35","3,885.73","3,898.81",3898.81,"5,827,250,000"
2021-03-09,"3,851.93","3,903.76","3,851.93","3,875.44",3875.44,"5,496,340,000"
2021-03-08,"3,844.39","3,881.06","3,819.25","3,821.35",3821.35,"5,852,240,000"
2021-03-05,"3,793.58","3,851.69","3,730.19","3,841.94",3841.94,"6,842,570,000"
2021-03-04,"3,818.53","3,843.67","3,723.34","3,768.47",3768.47,"7,142,240,000"
2021-03-03,"3,863.99","3,874.47","3,818.86","3,819.72",3819.72,"6,150,790,000"
2021-03-02,"3,903.64","3,906.41","3,868.57","3,870.29",3870.29,"5,493,690,000"
2021-03-01,"3,842.51","3,914.50","3,842.51","3,901.82",3901.82,"5,071,540,000"
2021-02-26,"3,839.66","3,861.08","3,789.54","3,811.15",3811.15,"6,512,950,000"
2021-02-25,"3,915.80","3,925.02","3,814.04","3,829.34",3829.34,"6,513,060,000"
2021-02-24,"3,873.71","3,928.65","3,859.60","3,925.43",3925.43,"5,942,350,000"
2021-02-23,"3,857.07","3,895.98","3,805.59","3,881.37",3881.37,"6,280,650,000"
2021-02-22,"3,885.55","3,902.92","3,874.71","3,876.50",3876.5,"5,870,190,000"
2021-02-19,"3,921.16","3,930.41","3,903.07","3,906.71",3906.71,"4,823,940,000"
2021-02-18,"3,915.86","3,921.98","3,885.03","3,913.97",3913.97,"4,773,430,000"
2021-02-17,"3,918.50","3,933.61","3,900.43","3,931.33",3931.33,"4,718,280,000"
2021-02-16,"3,939.61","3,950.43","3,923.85","3,932.59",3932.59,"5,037,360,000"
2021-02-12,"3,911.65","3,937.23","3,905.78","3,934.83",3934.83,"4,119,260,000"
2021-02-11,"3,916.40","3,925.99","3,890.39","3,916.38",3916.38,"4,570,080,000"
2021-02-10,"3,920.78","3,931.50","3,884.94","3,909.88",3909.88,"4,815,380,000"
2021-02-09,"3,910.49","3,918.35","3,902.64","3,911.23",3911.23,"4,554,610,000"
2021-02-08,"3,892.59","3,915.77","3,892.59","3,915.59",3915.59,"4,635,030,000"
2021-02-05,"3,878.30","3,894.56","3,874.93","3,886.83",3886.83,"4,838,580,000"
2021-02-04,"3,836.66","3,872.42","3,836.66","3,871.74",3871.74,"4,856,670,000"
2021-02-03,"3,840.27","3,847.51","3,816.68","3,830.17",3830.17,"4,846,900,000"
2021-02-02,"3,791.84","3,843.09","3,791.84","3,826.31",3826.31,"5,495,370,000"
2021-02-01,"3,731.17","3,784.32","3,725.62","3,773.86",3773.86,"5,392,870,000"
2021-01-29,"3,778.05","3,778.05","3,694.12","3,714.24",3714.24,"6,612,570,000"
2021-01-28,"3,755.75","3,830.50","3,755.75","3,787.38",3787.38,"6,937,960,000"
2021-01-27,"3,836.83","3,836.83","3,732.48","3,750.77",3750.77,"9,878,040,000"
2021-01-26,"3,862.96","3,870.90","3,847.78","3,849.62",3849.62,"6,029,090,000"
2021-01-25,"3,851.68","3,859.23","3,797.16","3,855.36",3855.36,"6,955,860,000"
2021-01-22,"3,844.24","3,852.31","3,830.41","3,841.47",3841.47,"5,080,430,000"
2021-01-21,"3,857.46","3,861.45","3,845.05","3,853.07",3853.07,"4,484,460,000"
2021-01-20,"3,816.22","3,859.75","3,816.22","3,851.85",3851.85,"4,551,790,000"
2021-01-19,"3,781.88","3,804.53","3,780.37","3,798.91",3798.91,"4,982,940,000"
2021-01-15,"3,788.73","3,788.73","3,749.62","3,768.25",3768.25,"5,353,060,000"
2021-01-14,"3,814.98","3,823.60","3,792.86","3,795.54",3795.54,"5,180,140,000"
2021-01-13,"3,802.23","3,820.96","3,791.50","3,809.84",3809.84,"4,590,420,000"
2021-01-12,"3,801.62","3,810.78","3,776.51","3,801.19",3801.19,"4,977,210,000"
2021-01-11,"3,803.14","3,817.86","3,789.02","3,799.61",3799.61,"4,450,500,000"
2021-01-08,"3,815.05","3,826.69","3,783.60","3,824.68",3824.68,"4,764,180,000"
2021-01-07,"3,764.71","3,811.55","3,764.71","3,803.79",3803.79,"5,080,870,000"
2021-01-06,"3,712.20","3,783.04","3,705.34","3,748.14",3748.14,"6,049,970,000"
2021-01-05,"3,698.02","3,737.83","3,695.07","3,726.86",3726.86,"4,582,620,000"
2021-01-04,"3,764.61","3,769.99","3,662.71","3,700.65",3700.65,"5,006,680,000"